Organization Name,Accreditation Type,Location,Dog Type,Veteran Specific,Website,Program Page,What They Offer,Why It Matters for AAAI,Confidence Level
"Brigadoon Service Dogs",ADI,"Bellingham, WA",Service (PTSD/TBI/mobility/autism),Yes,https://www.brigadoondogs.org,https://www.brigadoondogs.org/about-us,"100+ clients. 50+ veterans. WA prison training. Serves Pacific NW.",Only ADI program for Pacific Northwest.,VERIFIED
"Little Angels Service Dogs",ADI,"Southern CA / Eastern TX / New England",Service (mobility/diabetic/seizure/hearing/psychiatric/autism),Yes,https://littleangelsservicedogs.org,https://littleangelsservicedogs.org/our-programs/,"300+ dogs since 2006. Multi-region. Widest disability type range. Positive reinforcement.",Widest range of disability types. Multi-region.,VERIFIED
"Paragon Service Dogs",ADI,"National",Service (mobility/psychiatric/facility),Yes,https://paragonservicedogs.org,https://paragonservicedogs.org/meet-paragon/adi-accredited-member.html,"Rebranded from IHDI 2024. ADI accredited 2023. Expanding scope.",Newer ADI member with expanding scope.,VERIFIED
"Service Dogs for America",ADI,"Jud, ND",Service (mobility/PTSD/seizure/diabetes),Yes,https://www.servicedogsforamerica.org,https://www.servicedogsforamerica.org/accreditation/,"Only accredited program with NO WAITLIST. ADI since 2010. Prison training.",NO WAITLIST — critical differentiator.,VERIFIED
"Helping Paws",ADI,"Eden Prairie, MN",Service (mobility/PTSD-military),Yes,https://www.helpingpaws.org,https://www.helpingpaws.org/service-dog-physical-disabilities,"80+ cues per dog. ADI since 2007. 3-week Team Training. MN + neighbors.",Strong Midwest coverage. Rigorous training.,VERIFIED
"Paws With A Cause",ADI,"Wayland, MI",Service (mobility/hearing/seizure/autism/facility),Yes,https://pawswithacause.org,https://pawswithacause.org/about-us/,"3,500+ dogs since 1979. Serves 20+ states. Custom-trained.",Massive scale. One of oldest/largest programs.,VERIFIED
"Ability Dogs of Arizona",ADI,"Tucson / Phoenix, AZ / Las Vegas, NV",Service (mobility/psychiatric/medical alert),Yes,https://www.abilitydogsaz.org,https://www.abilitydogsaz.org/adi-matters/service-dog-training,"Oldest service dog org in U.S. (1973). Owner-train model. 12-18mo.",Owner-train model. Southwest coverage.,VERIFIED
"ICAN (Indiana Canine Assistant Network)",ADI,"Indianapolis, IN",Service (mobility/psychiatric-vet/facility/companion),Yes,https://icandog.org,https://icandog.org/service-dogs-overview,"300+ dogs since 2002. 60-80 cues. 3 prison training facilities. $30K+/dog.",Indiana coverage. Innovative prison model.,VERIFIED
"4 Paws for Ability",ADI,"Xenia, OH",Service (autism/seizure/diabetes/hearing/mobility/PTSD),Yes,https://www.4pawsforability.org,https://www.4pawsforability.org/servicedogs/,"2,000+ dogs. 120+/year. 10+ dog types. Children + veterans.",Broadest specialty range. Largest annual volume.,VERIFIED
"Susquehanna Service Dogs",ADI,"Grantville, PA",Service (mobility/hearing/seizure/balance/veteran),Yes,http://www.keystonehumanservices.org/susquehanna-service-dogs/,http://www.keystonehumanservices.org/susquehanna-service-dogs/,"300+ dogs since 1993. Part of Keystone Human Services. Multiple dog types.",Pennsylvania coverage. Human services network.,VERIFIED
"Guardian Angels Medical Service Dogs",ADI,"Williston, FL",Medical Service (PTSD/TBI/mobility/seizure/diabetes/hearing),Yes,https://www.medicalservicedogs.org,https://www.medicalservicedogs.org/about-us/,"2-year training. College-accredited curriculum. VA-approved. 30+ states. Free.",College-accredited curriculum. Medical specialty.,VERIFIED
"Guide Dogs of America / Tender Loving Canines",ADI,"Sylmar (LA), CA",Guide + Service (veterans/autism/facility),Yes,https://www.guidedogsofamerica.org,https://www.guidedogsofamerica.org/service-dog-information/,"7.5-acre campus. Merged 2020. Guide + service dogs. U.S. and Canada. Free.",Dual mission (guide + service). West coast.,VERIFIED
"Southeastern Guide Dogs / Dogs Inc.",ADI + IGDF,"Palmetto, FL",Guide + Service (veterans),Yes,https://www.guidedogs.org,https://www.guidedogs.org,"Only dual IGDF+ADI in SE U.S. 400+ graduates. 100+/year. Premier pedigree. Free.",DUAL accreditation = highest tier. Guide + vet service.,VERIFIED
"Leader Dogs for the Blind",ADI + IGDF,"Rochester Hills, MI",Guide,Historical,https://www.leaderdog.org,https://www.leaderdog.org/about/who-we-are/,"Since 1939. All programs free. Guide dogs + summer camps.",Dual accredited. One of oldest U.S. guide dog schools.,VERIFIED
"Guide Dogs of the Desert",ADI + IGDF,"N. Palm Springs, CA",Guide,No,https://guidedogsofthedesert.org,https://guidedogsofthedesert.org/guide-dog-program-2/,"Founded 1972. 1 of 14 U.S. guide dog schools. Specializes in 55+ and multi-disability. Free.",Dual accredited. Older adult + multi-disability specialty.,VERIFIED
"Guide Dogs for the Blind",IGDF,"San Rafael, CA / Boring, OR",Guide,No,https://www.guidedogs.com,https://www.guidedogs.com/client-programs/guide-dog-program,"Two campuses. 2-week classes. All services free. Staff on IGDF board.",Premier guide dog school. Staff on IGDF committees.,VERIFIED
"The Seeing Eye",IGDF,"Morris Township, NJ",Guide,No,https://seeingeye.org,https://seeingeye.org/about-us/accreditation/,"Oldest U.S. guide dog school. 260/year. 60-acre campus. Breeds 4 types.",Historic institution. Highest guide dog volume.,VERIFIED
"Guiding Eyes for the Blind",IGDF,"Yorktown Heights, NY",Guide,No,https://www.guidingeyes.org,https://www.guidingeyes.org/who-we-are/,"Founded 1954. 10,000+ graduates. 3 facilities. All free.",Major East Coast school. 10K+ proven at scale.,VERIFIED
"Fidelco Guide Dog Foundation",IGDF,"Bloomfield, CT",Guide (German Shepherds only),No,https://fidelco.org,https://fidelco.org,"50+ years. German Shepherds exclusively. 1,450+ dogs. 24/7 support. Free.",German Shepherd specialist. Longest single-breed program.,VERIFIED
